id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27697,-123.11616,Entire home/apt,526,30,10,2013-09-30,0.12,8,365
961692,"PRIVATE ENT. GARDEN SUITE
Savings= WK 20%  MTH 50%",5237545,Valerie,,Hastings-Sunrise,49.29186,-123.02504,Entire home/apt,129,3,38,2019-11-05,0.48,1,296
966003,$90 Special Downtown Van 180 Degree Water View,5268156,Sharon & Allan,,Downtown,49.2803,-123.10788,Entire home/apt,149,2,226,2019-10-07,3.00,3,47
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.2764,-123.12547,Entire home/apt,88,30,6,2019-08-31,0.11,48,69
994900,Explore Vancouver from a Charming Heritage House,5464331,Denise & Rolf,,Downtown Eastside,49.27888,-123.08514,Entire home/apt,106,3,225,2019-09-21,2.92,1,144
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.27994,-123.12554,Entire home/apt,86,32,1,2013-09-17,0.01,48,74
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28839,-123.12777,Entire home/apt,111,32,10,2018-03-10,0.13,48,0
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.28031,-123.1267,Entire home/apt,280,180,2,2014-05-23,0.03,2,365
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!  ,5539641,Selina,,Downtown,49.27837,-123.12582,Entire home/apt,180,180,1,2013-06-02,0.01,2,365
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25825,-123.08901,Entire home/apt,81,2,241,2019-10-16,3.03,1,242
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27826,-123.12085,Entire home/apt,81,30,90,2019-09-13,1.12,2,146
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.2787,-123.12732,Entire home/apt,75,30,131,2019-08-31,1.66,2,132
1030205,Beautiful Point Grey Character Home,5668489,David,,Kitsilano,49.26984,-123.1812,Entire home/apt,250,2,86,2019-10-16,1.13,1,6
1030299,Great location!  Gastown/Skytrain,2673805,Keith,,Downtown,49.27843,-123.10725,Entire home/apt,111,90,21,2013-10-13,0.26,1,314
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27093,-123.06289,Private room,95,2,49,2019-10-06,0.62,1,349
1097336,Kitsilano apartment near the beach,1922054,Marta,,Kitsilano,49.26835,-123.1829,Entire home/apt,98,1,4,2013-11-01,0.05,1,0
1102797,this is the door to vancouver UNW,981145,Dianne,,Downtown Eastside,49.27881,-123.08014,Private room,70,1,67,2019-09-15,1.11,4,0
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",6060927,Arin,,Downtown,49.27865,-123.10722,Entire home/apt,349,3,251,2019-10-19,4.39,1,311
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29193,-123.1364,Entire home/apt,88,30,11,2019-03-23,0.16,48,33
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26056,-123.15874,Entire home/apt,479,6,34,2019-08-15,0.44,1,90
1115618,This is the door to Vancouver UNE,981145,Dianne,,Downtown Eastside,49.27864,-123.07854,Private room,70,1,54,2019-08-17,0.84,4,222
1118858,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28115,-123.13038,Private room,95,30,57,2019-11-04,0.73,3,336
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28061,-123.11874,Entire home/apt,99,30,1,2019-07-08,0.24,2,339
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27954,-123.08689,Entire home/apt,120,3,249,2019-10-04,3.15,1,301
1156898,seasonal suite with private bathroom in Vancouver,1344421,Jimmy,,Victoria-Fraserview,49.2283,-123.07126,Private room,36,3,89,2019-09-28,1.14,1,0
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.27186,-123.06996,Private room,49,30,72,2019-08-24,0.95,1,365
1171867,Live by the beach in Kits Point,1805803,Linda,,Kitsilano,49.27427,-123.14976,Entire home/apt,300,2,63,2019-06-15,0.83,1,0
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,81,2,34,2019-09-09,2.11,1,112
1187929,Elegant Main floor House Vancouver,6495937,Janet,,Kensington-Cedar Cottage,49.24931,-123.0704,Entire home/apt,149,3,93,2019-10-26,1.21,1,40
1191143,Beautiful Kitsilano Character home. Great Location,598979,Mary,,Kitsilano,49.26856,-123.17419,Entire home/apt,199,6,12,2019-06-09,0.18,2,9
